metodo,numero_episodios,exitos,tasa_exito,ic_wilson_95_inferior,ic_wilson_95_superior,colision_estatica,tasa_colision_estatica,colision_dinamica,tasa_colision_dinamica,fuera_mapa,tasa_fuera_mapa,timeout,tasa_timeout,spl_medio,tiempo_exitos_media_s,longitud_exitos_media_m,distancia_final_media_m,clearance_dinamico_minimo_media_m,clearance_total_p5_media_m,episodios_con_casi_colision,tasa_episodios_con_casi_colision,eventos_casi_colision_media,tiempo_casi_colision_media_s,ttc_real_minimo_media_s,jerk_angular_rms_media,esfuerzo_control_medio,tiempo_ciclo_medio_ms,inferencia_actor_media_ms,brier_colision_predicha_media,brier_probabilidad_colision_media,ece_probabilidad_colision_media
A* + DWA,200,177,0.885,0.8333528310151243,0.9221362676743804,0,0.0,23,0.115,0,0.0,0,0.0,0.885,17.501129943502825,10.243438031857854,1.1445959956127565,0.31068998220041477,0.2666894976018309,36,0.18,0.22,0.20450000000000002,1.4850616626138398,17.372560250427224,0.437931516471977,100.51223734451638,100.2037087110767,nan,nan,nan
A* + TD3,200,136,0.68,0.6124810156588646,0.7407346668453195,3,0.015,61,0.305,0,0.0,0,0.0,0.6752452554048451,19.753676470588236,10.563861963387426,2.378222628304412,0.4492623618570611,0.26487278256494085,89,0.445,0.48,0.37400000000000005,1.140441990909,51.8621208372921,0.7125880473292995,1.8967220864099381,0.8033756497729749,nan,nan,nan
A* + SAC-R,200,157,0.785,0.7229769265100339,0.8362812374549242,2,0.01,37,0.185,0,0.0,4,0.02,0.7835366245697665,21.262420382165608,10.550001059819932,1.5828365764189503,0.6762122507816118,0.40401657520603024,49,0.245,0.26,0.17200000000000004,2.044755688172244,45.270443961127114,0.5082387818840295,3.0822911566891857,1.9680190362398486,nan,nan,nan
A* + SAC-PO-TTC,200,161,0.805,0.7445595562538726,0.8539447946559949,14,0.07,21,0.105,0,0.0,4,0.02,0.8022965468041187,21.458385093167703,10.499959891392475,1.5681508188548003,0.9022798446948137,0.3734607018106634,28,0.14,0.155,0.1285,2.6783251704831947,45.3623876421113,0.4807331470503085,10.169894988500067,2.0270960416231247,0.02348524752000162,nan,nan
A* + SAC-UPO-TTC,200,150,0.75,0.6856590168795417,0.8049183199318249,13,0.065,32,0.16,2,0.01,3,0.015,0.7381161260650387,23.008666666666667,10.82300747434893,1.8244121829415507,0.9951944646102282,0.3909226268380431,39,0.195,0.205,0.125,3.2171792787841325,46.452471153689956,0.44656786986801367,5.381583513190117,1.988132940541459,0.08199209802693336,0.01648365459807032,0.022442167330501365
