semilla,metodo_a,resultado_a,metodo_b,resultado_b
170199,A* + DWA,colision_dinamica,A* + SAC-R,meta
170014,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170017,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170025,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170040,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170041,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170046,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170049,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170052,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170059,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170063,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170068,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170072,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170073,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170074,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170077,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170081,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170089,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170093,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170097,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170098,A* + DWA,meta,A* + SAC-PO-TTC,timeout
170102,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170103,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170114,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170118,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170124,A* + DWA,meta,A* + SAC-PO-TTC,timeout
170132,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170134,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170136,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170137,A* + DWA,meta,A* + SAC-PO-TTC,timeout
170139,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170141,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170147,A* + DWA,meta,A* + SAC-PO-TTC,colision_estatica
170148,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170149,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170162,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170163,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170167,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170170,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170173,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170174,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170176,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170178,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170179,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
