condicion,semilla,metodo,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos,tiempo_simulado_s,recompensa_acumulada,distancia_inicial_meta_m,distancia_final_meta_m,progreso_normalizado,longitud_astar_m,longitud_trayectoria_m,exceso_longitud_m,eficiencia_geometrica,spl,error_medio_ruta_m,error_rmse_ruta_m,error_maximo_ruta_m,clearance_estatico_minimo_m,clearance_dinamico_minimo_m,clearance_total_minimo_m,clearance_total_percentil_5_m,clearance_total_promedio_m,hubo_casi_colision_real,eventos_casi_colision_real,pasos_en_casi_colision,tiempo_en_casi_colision_s,fraccion_tiempo_casi_colision,pasos_en_riesgo_total,tiempo_en_riesgo_total_s,ttc_real_minimo_s,pasos_ttc_menor_1s,tiempo_ttc_menor_1s_s,eventos_ttc_menor_1s,velocidad_lineal_media_m_s,velocidad_angular_abs_media_rad_s,numero_paradas,variacion_total_v,variacion_total_omega,aceleracion_lineal_rms_m_s2,aceleracion_angular_rms_rad_s2,jerk_lineal_rms_m_s3,jerk_angular_rms_rad_s3,cambios_signo_omega,esfuerzo_control_medio,tiempo_preparacion_ms,tiempo_control_total_ms,tiempo_ciclo_medio_ms,inferencia_actor_media_ms,inferencia_actor_p95_ms,inferencia_actor_p99_ms,procesamiento_paso_medio_ms,numero_parametros,huella_escenario,huella_dinamicos_iniciales,clearance_predicho_minimo_m,clearance_predicho_promedio_m,clearance_futuro_real_minimo_m,error_mae_clearance_predicho_m,ttc_predicho_minimo_s,ttc_predicho_promedio_s,error_mae_ttc_predicho_condicional_s,fraccion_colision_predicha,brier_colision_predicha,precision_colision_predicha,recall_colision_predicha,f1_colision_predicha,probabilidad_colision_media,probabilidad_colision_maxima,brier_probabilidad_colision,ece_probabilidad_colision,probabilidad_casi_colision_media,probabilidad_casi_colision_maxima,brier_probabilidad_casi_colision,ece_probabilidad_casi_colision,clearance_cvar_minimo_m,clearance_cvar_promedio_m,ttc_cvar_minimo_s,ttc_cvar_promedio_s,penalizacion_predictiva_media,velocidad_cierre_predicha_maxima_m_s,latencia_observacion_pasos,sigma_posicion_observacion_m,sigma_velocidad_observacion_m_s,numero_muestras_monte_carlo
incertidumbre_moderada,170000,A* + DWA,meta,1,0,0,0,0,225,22.5,nan,13.336014146776996,0.48564733766895773,0.9635837715584362,15.260238624692168,14.11752770687146,-1.1427109178207076,1.0,1.0,0.0912806082276906,0.12074248432699722,0.3192227962878511,0.20006747165349703,0.25864391376168483,0.20006747165349703,0.25806900087163687,0.6586011023438428,0,0,0,0.0,0.0,0,0.0,2.0177100238616053,0,0.0,0,0.6274614800293332,0.17244444445244445,0,15.3731933596,11.066666665300001,1.1481281515969344,1.0653265390226754,17.142025702308118,16.75165178504657,9,0.4885634067044715,125.95758700626902,26573.354045991437,118.10379575996194,117.79457520835825,179.239363205852,180.07384067575913,0.3092205516036806,0,d309b9ba248d887219d83f4e6754c0004591f9f5ebb63d9238b8a5f43db031eb,4b5f92f73eeb3084aaf412face4284b087b74f656d081fb728541b387c1dfb3b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
incertidumbre_moderada,170000,A* + TD3,meta,1,0,0,0,0,212,21.200000000000003,251.28291180255286,13.336014146776996,0.4957976839512967,0.9628226486194063,15.260238624692168,14.644035624609455,-0.616203000082713,1.0,1.0,0.2232437356836583,0.26402575797946465,0.4865987763022237,0.248639437648419,0.2778611996601106,0.248639437648419,0.3126581745112371,0.6533492130248574,0,0,0,0.0,0.0,0,0.0,0.7665138021070983,3,0.30000000000000004,2,0.6908390381498483,0.3739569657324057,6,10.15767964524397,73.52733564227819,0.8832051305028449,3.654090211481391,12.623527605180968,54.51714013903932,76,0.7779646715774394,129.33905400859658,602.8744400828145,2.843747358881201,1.7020452976554088,0.7960232505865861,0.8144681494741234,1.141702061225792,274962,d309b9ba248d887219d83f4e6754c0004591f9f5ebb63d9238b8a5f43db031eb,4b5f92f73eeb3084aaf412face4284b087b74f656d081fb728541b387c1dfb3b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
incertidumbre_moderada,170000,A* + SAC-R,meta,1,0,0,0,0,246,24.6,397.354840897489,13.336014146776996,0.4958513107187935,0.9628186274203504,15.260238624692168,14.612394699724149,-0.6478439249680186,1.0,1.0,0.2707964676799226,0.30344296924447994,0.5060085292222389,0.2997577436121164,0.6004753980393728,0.2997577436121164,0.351465112092501,0.9426699424517123,0,0,0,0.0,0.0,0,0.0,2.368513739938486,0,0.0,0,0.5940493621000272,0.3110544880341485,1,20.18468381141481,62.39909283909945,1.0963796033007183,2.8941126471732366,12.789542377148997,44.58186685460464,69,0.5513494866336365,127.13221900048666,849.4035389012424,3.452859914232693,2.2843059429087735,2.1165559919609223,2.2374213993316525,1.1685539713239192,275476,d309b9ba248d887219d83f4e6754c0004591f9f5ebb63d9238b8a5f43db031eb,4b5f92f73eeb3084aaf412face4284b087b74f656d081fb728541b387c1dfb3b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
incertidumbre_moderada,170000,A* + SAC-PO-TTC,meta,1,0,0,0,0,251,25.1,434.84691117667796,13.336014146776996,0.49941530389287553,0.9625513816649952,15.260238624692168,14.233430046107353,-1.0268085785848147,1.0,1.0,0.0916774484584422,0.14090765660609683,0.4348990634725505,0.28773812672652666,0.6825536528474277,0.28773812672652666,0.4213356477494186,0.7752951357061453,0,0,0,0.0,0.0,0,0.0,2.300420253955504,0,0.0,0,0.5671272030511487,0.32487159119288167,5,13.568829080871573,59.277802664041516,0.8316092186150977,2.7869880714490214,11.424697674037873,40.315179395559724,73,0.5829194457171136,126.44752000051085,2652.850382044562,10.569125028065985,2.354643159904016,2.8242629996384494,3.2846559915924445,8.214481868161968,275476,d309b9ba248d887219d83f4e6754c0004591f9f5ebb63d9238b8a5f43db031eb,4b5f92f73eeb3084aaf412face4284b087b74f656d081fb728541b387c1dfb3b,-0.06392455713867184,2.210616409195883,0.6825536528474277,0.17568554480440002,1.9069884548125928,1.9069884548125928,nan,0.00398406374501992,0.00398406374501992,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030635024104429,1.1320660492036172,nan,nan,nan,nan
incertidumbre_moderada,170000,A* + SAC-UPO-TTC,meta,1,0,0,0,0,252,25.200000000000003,386.3574076458277,13.336014146776996,0.49541473054946594,0.9628513643509297,15.260238624692168,14.415492051818857,-0.8447465728733103,1.0,1.0,0.19916513580506326,0.23131228013049998,0.3597184314392248,0.3088174567569807,0.6844233239047554,0.3088174567569807,0.46098984450883546,0.8753434044247025,0,0,0,0.0,0.0,0,0.0,5.234668797373355,0,0.0,0,0.5721117954915743,0.3668387612608808,5,14.624135932802178,63.893912045285106,0.888918991275884,2.939071648015671,11.866868571427572,39.06304382290574,64,0.6192763538786784,126.55752900172956,1504.7912262089085,5.971393754797256,2.28187946887042,3.1005258017103183,3.5473162707057795,3.6895142859268364,275476,d309b9ba248d887219d83f4e6754c0004591f9f5ebb63d9238b8a5f43db031eb,4b5f92f73eeb3084aaf412face4284b087b74f656d081fb728541b387c1dfb3b,-0.6317193762875133,1.7565276057566748,0.6844233239047554,0.6345082675049412,1.3000000000000003,1.73,nan,0.03968253968253968,0.03968253968253968,0.0,nan,nan,0.00992063492063492,0.8333333333333334,0.004464285714285715,0.00992063492063492,0.017857142857142856,0.9166666666666666,0.008156966490299825,0.017857142857142856,-0.4044498976420486,1.9331207352441437,1.3000000000000003,1.7433333333333336,0.1659306282944458,2.822294238822246,1.0,0.04,0.06,12.0
incertidumbre_moderada,170001,A* + DWA,meta,1,0,0,0,0,199,19.900000000000002,nan,12.636151319374397,0.49598908211199577,0.960748405936583,14.431323634740147,13.376924489606166,-1.0543991451339814,1.0,1.0,0.04075301027928978,0.0592354121359723,0.21392010038997533,0.21489818687814577,0.232700386904933,0.21489818687814577,0.24409936218066128,0.8960949115806428,0,0,0,0.0,0.0,0,0.0,1.4920943787855356,0,0.0,0,0.6722160607748743,0.11859296483517588,0,12.749023437400002,7.733333332100001,1.0871055642669436,0.7813769536610882,17.043703340217775,12.23938701202929,5,0.5319637437176564,125.16010098624974,22337.007152993465,112.24626710046967,111.97669838231067,183.78084609867074,190.67553082335507,0.2695687181590097,0,c9e55be3f9333f1b3c7751758d6bc078338cd08b8754dfee0825fe19dc27f683,75ad77d32ab7fbbfc1c93bf18e5b40020823d06315e1735594a7f59f122fb825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
incertidumbre_moderada,170001,A* + TD3,meta,1,0,0,0,0,160,16.0,361.92685144364737,12.636151319374397,0.49931194683670665,0.9604854410004463,14.431323634740147,13.542181091965686,-0.8891425427744615,1.0,1.0,0.16014319261306315,0.19222123390759904,0.35656090728842926,0.3991580676928562,0.27085164525108396,0.27085164525108396,0.327386286385721,1.0736916238002057,0,0,0,0.0,0.0,0,0.0,0.7206969998375249,6,0.6000000000000001,1,0.8464391198088128,0.311158282050892,0,2.3820557031243546,56.30099992570466,0.39486296887682026,3.669188529409059,3.742781473241439,59.65296835498391,61,0.9045532377972106,134.97629800986033,312.02060615760274,1.9501287884850171,0.8456421567643702,0.9449835451960097,1.004133810492931,1.104486631720647,274962,c9e55be3f9333f1b3c7751758d6bc078338cd08b8754dfee0825fe19dc27f683,75ad77d32ab7fbbfc1c93bf18e5b40020823d06315e1735594a7f59f122fb825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
incertidumbre_moderada,170001,A* + SAC-R,meta,1,0,0,0,0,254,25.400000000000002,441.39959671012576,12.636151319374397,0.49746106613119523,0.9606319160353467,14.431323634740147,14.124321849837145,-0.3070017849030027,1.0,1.0,0.2415602073531477,0.31448874118305264,0.5611559737218109,0.6021792328686065,0.9674540527326674,0.6021792328686065,0.735310778224519,1.2383568400844172,0,0,0,0.0,0.0,0,0.0,4.264519086782299,0,0.0,0,0.5561108538730881,0.30302644783198307,11,10.192141544974094,67.48141488619149,0.6600777727099411,3.022654645889545,8.192377870824131,48.475057015005994,103,0.5868040858136101,129.68355701013934,797.4529110797448,3.139578390077735,1.9931757834549317,2.1327388007193804,2.195992761553498,1.1464026066228035,275476,c9e55be3f9333f1b3c7751758d6bc078338cd08b8754dfee0825fe19dc27f683,75ad77d32ab7fbbfc1c93bf18e5b40020823d06315e1735594a7f59f122fb825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
incertidumbre_moderada,170001,A* + SAC-PO-TTC,meta,1,0,0,0,0,261,26.1,320.786657692928,12.636151319374397,0.49824578323806634,0.9605698150769901,14.431323634740147,13.596922964905371,-0.8344006698347766,1.0,1.0,0.19556150052437735,0.2412144907853554,0.4668154797255665,0.36074323142276665,0.8421811996923332,0.36074323142276665,0.4480104588987268,0.991719733989436,0,0,0,0.0,0.0,0,0.0,1.4123350418740797,0,0.0,0,0.5210008916962006,0.3633504324310755,3,15.184195763588516,70.4127837538719,0.8781056266650638,3.0642299652130043,11.638633870817943,43.22347069496096,56,0.553610262077175,128.73233399295714,2465.92933696229,9.448005122460883,2.563563294925502,2.563556990935467,2.836140789440831,6.88444182753538,275476,c9e55be3f9333f1b3c7751758d6bc078338cd08b8754dfee0825fe19dc27f683,75ad77d32ab7fbbfc1c93bf18e5b40020823d06315e1735594a7f59f122fb825,-0.37866132216260406,1.7997857564418929,0.8421811996923332,0.2522514973458426,1.5056199706682631,1.8337033022150755,nan,0.02681992337164751,0.02681992337164751,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10325937259546279,1.1896203893042623,nan,nan,nan,nan
incertidumbre_moderada,170001,A* + SAC-UPO-TTC,meta,1,0,0,0,0,300,30.0,391.9737503385174,12.636151319374397,0.4940919572529503,0.9608985406422458,14.431323634740147,14.439881339641047,0.00855770490090002,0.9994073562864116,0.9994073562864116,0.29426532801124106,0.3453841837497726,0.693748647675509,0.01614818636993426,2.6105303926398635,0.01614818636993426,0.15139805872903966,1.2806054591414453,0,0,0,0.0,0.0,0,0.0,6.087775061562108,0,0.0,0,0.48136732920045344,0.291073094509542,8,14.26519625110032,73.68507020324469,0.7804046756054188,2.8739924320020416,9.395010687776246,48.48159697230613,105,0.48127301637684655,129.47463399905246,1722.4432292132406,5.741477430710802,2.1687257070152555,2.468855455663288,2.649942918069428,3.5727517236955464,275476,c9e55be3f9333f1b3c7751758d6bc078338cd08b8754dfee0825fe19dc27f683,75ad77d32ab7fbbfc1c93bf18e5b40020823d06315e1735594a7f59f122fb825,0.6277372334277197,3.1431641523709684,2.6105303926398635,0.875684912197692,nan,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1642586269197996,3.359385095723166,nan,nan,0.0,2.970339693258701,1.0,0.04,0.06,12.0
