metodo,numero_episodios,exitos,tasa_exito,ic_wilson_95_inferior,ic_wilson_95_superior,colision_estatica,tasa_colision_estatica,colision_dinamica,tasa_colision_dinamica,fuera_mapa,tasa_fuera_mapa,timeout,tasa_timeout,spl_medio,tiempo_exitos_media_s,longitud_exitos_media_m,distancia_final_media_m,clearance_dinamico_minimo_media_m,clearance_total_p5_media_m,episodios_con_casi_colision,tasa_episodios_con_casi_colision,eventos_casi_colision_media,tiempo_casi_colision_media_s,ttc_real_minimo_media_s,jerk_angular_rms_media,esfuerzo_control_medio,tiempo_ciclo_medio_ms,inferencia_actor_media_ms,brier_colision_predicha_media,brier_probabilidad_colision_media,ece_probabilidad_colision_media
A* + DWA,200,183,0.915,0.8681041292843443,0.9462542498225244,0,0.0,17,0.085,0,0.0,0,0.0,0.915,17.2,10.267811272443819,0.9576666405313757,0.27746638949628116,0.24711834323221563,33,0.165,0.18,0.12250000000000001,1.671481202255135,14.337143646959573,0.44235380451281814,106.22378000377095,105.89532191079707,nan,nan,nan
A* + TD3,200,136,0.68,0.6124810156588646,0.7407346668453195,3,0.015,60,0.3,0,0.0,1,0.005,0.676064785852823,19.70808823529412,10.650348824059423,2.292496589527302,0.48145899330744657,0.27808665654535647,76,0.38,0.4,0.2975,1.2227426956613954,52.85792090183786,0.6849421463148593,1.9714521585874254,0.8364610024485871,nan,nan,nan
A* + SAC-R,200,165,0.825,0.7663556885175099,0.8713948493372666,2,0.01,28,0.14,0,0.0,5,0.025,0.8212460874054457,21.3769696969697,10.57203016478917,1.3443168297488974,0.6954867071125489,0.4138885852995707,46,0.23,0.245,0.19800000000000004,2.1813645085808093,43.58473331077085,0.49966294236088177,3.200924761482664,2.0304229767524626,nan,nan,nan
A* + SAC-PO-TTC,200,163,0.815,0.7554293723884824,0.8626980719938395,16,0.08,18,0.09,0,0.0,3,0.015,0.8102788089880474,21.421472392638037,10.550869416377804,1.4544794091700124,0.9240099123649606,0.37920354891564423,28,0.14,0.145,0.12,2.8266974055142264,43.42730375530907,0.4830204731443552,10.672084507817855,2.2196853033483874,0.016509066030814624,nan,nan
A* + SAC-UPO-TTC,200,151,0.755,0.6909575644379659,0.8094313191096282,14,0.07,30,0.15,2,0.01,3,0.015,0.744194210623143,22.868211920529802,10.724282720219048,1.7825560274609797,0.9858361750506889,0.3934622197583393,35,0.175,0.19,0.10900000000000003,3.2668487561081054,44.6160362880078,0.4423202579159703,5.68804172535034,2.12362577507009,0.07137594282447694,0.012894770750575556,0.018124668082418333
