semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos,tiempo_simulado_s,recompensa,distancia_final_m,longitud_trayectoria_m,error_medio_ruta_m,clearance_minimo_m,clearance_estatico_minimo_m,clearance_dinamico_minimo_m,velocidad_lineal_media_m_s,velocidad_angular_abs_media_rad_s,esfuerzo_control_medio,cambios_signo_omega,inferencia_media_ms,inferencia_p95_ms,inferencia_p99_ms
168000,colision_dinamica,0,0,1,0,0,64,6.4,-100.13790985578584,3.752800512045911,5.136522792558953,0.08466671388130058,-0.024012242111264848,0.42138579456030645,-0.024012242111264848,0.8026865461142734,0.419800479512196,1.5675117536278378,18,3.2272313453631796,0.792855891631916,59.93705768938485
168001,colision_dinamica,0,0,1,0,0,63,6.300000000000001,-154.28774600759752,3.726126325665803,4.880175390243511,0.39167166972574885,-0.03513089446243384,0.37706882749887294,-0.03513089446243384,0.7747088107679571,0.37191273976738254,1.3241076935024207,24,0.7324626993587506,0.7624672012752853,0.9215478098485629
168002,colision_dinamica,0,0,1,0,0,27,2.7,-161.7844223816443,7.59126264942172,2.3611066185722716,0.10409049204898217,-0.0020202670556541125,0.6719772940025913,-0.0020202670556541125,0.8745521900830446,0.39216978859018403,1.428964394123496,10,0.7395201866057943,0.7618316929438151,1.0368735963129432
168003,colision_dinamica,0,0,1,0,0,76,7.6000000000000005,-108.70562526611468,5.975716891548089,4.924772232993954,0.11585984376416937,-0.00431756573116393,0.6610071317005887,-0.00431756573116393,0.6480813394202606,0.45470005954174625,1.4798843992242865,20,0.7196195777061419,0.7664682489121333,0.773110004956834
168005,colision_dinamica,0,0,1,0,0,94,9.4,-143.00409602885694,5.578478635515192,6.085815151012933,0.30971341126969254,-0.006919617654049581,0.5323669662900855,-0.006919617654049581,0.6475018836016658,0.4684348547236717,1.293211208283684,24,0.7437598728079428,0.7791523508785758,1.1803830142889575
168007,colision_dinamica,0,0,1,0,0,42,4.2,-210.78544869758414,8.534617652406594,2.292225263429208,0.14692872736432092,-0.0075207537096348975,0.447775967698981,-0.0075207537096348975,0.5458447636592956,0.4038874397852592,1.3149263888985225,13,0.7262594288996687,0.7668181511689909,0.8843796567816745
168008,colision_dinamica,0,0,1,0,0,156,15.600000000000001,-346.29374010642255,0.6138288989447316,7.567870131719237,0.18811303757993708,-0.010099706241294526,0.5437430055315743,-0.010099706241294526,0.4851619111475996,0.3411866013390514,1.3606834851569687,52,0.7250307946658443,0.7678859947191086,0.7948887017846571
168015,colision_dinamica,0,0,1,0,0,136,13.600000000000001,-285.83044021638716,4.016257781843461,4.548996473765347,0.3111000614252193,-0.0071253950976524205,0.8605940892887379,-0.0071253950976524205,0.3345490692073808,0.47931695817147985,1.448530417788586,48,0.7295688600981306,0.77734524893458,0.8421584483585325
168016,colision_dinamica,0,0,1,0,0,68,6.800000000000001,-164.42674059720517,9.095531003191782,3.995674147113774,0.243362676619419,-0.004835584806454907,0.70439371175861,-0.004835584806454907,0.5876490870052401,0.36905558731626054,1.2755667740631143,30,0.7432986766456023,0.7756992454233114,0.9266657174157437
168018,colision_dinamica,0,0,1,0,0,41,4.1000000000000005,-204.15181097393773,6.502491204390632,2.068825131155688,0.5101522544353788,-0.023824602113632687,1.507445778326249,-0.023824602113632687,0.5046737059950828,0.5299935029774177,1.3725137034405082,9,0.7510273909003179,0.7987129938555881,1.0268967977026484
168021,colision_dinamica,0,0,1,0,0,102,10.200000000000001,-142.53422294212893,6.920728953469381,6.965623558401973,0.4473772820627076,-0.02504397210534509,0.2992923336787354,-0.02504397210534509,0.6829649177398168,0.3946162125643561,1.4046388973914166,32,0.8203226274881494,1.225918193085817,1.2715076815220525
168027,colision_dinamica,0,0,1,0,0,85,8.5,-37.76886203201627,5.562177967437627,6.9500364712625915,0.16735640984108485,-0.0034564737145834634,1.1473516923929696,-0.0034564737145834634,0.817686355151236,0.24828083085553612,1.153372255951431,46,0.7417745289036676,0.7961904047988355,0.8783352712634938
168039,colision_dinamica,0,0,1,0,0,104,10.4,-194.58979262025045,7.158400220326935,3.795268938185797,0.36518233676508544,-0.013002800670734116,0.37829484211492626,-0.013002800670734116,0.36499360847788365,0.41067052560930073,1.2630051458634894,39,0.7503908373809491,0.8361949563550296,0.8666383617674001
168040,colision_dinamica,0,0,1,0,0,43,4.3,-193.22365117909717,8.047811513925577,2.521814536829639,0.4218965004836328,-0.014745045184278327,0.3154508477318977,-0.014745045184278327,0.5865388782564984,0.4440129001473272,1.2844165530946423,16,0.7425839295285906,0.803989396081306,1.0261706769233565
168042,colision_dinamica,0,0,1,0,0,56,5.6000000000000005,-209.97836489153423,8.690587914677414,2.954906033285003,0.1250537241296857,-0.001901183025465436,1.5380182681621757,-0.001901183025465436,0.527740905167801,0.4694489124630179,1.378662731080728,18,0.7472496961002305,0.774695748987142,0.9607490443158906
168046,colision_dinamica,0,0,1,0,0,40,4.0,-235.14926460494866,7.090018243505446,1.4070795030286916,0.5604681431128021,-0.015213910895980343,1.3579859878227922,-0.015213910895980343,0.3518424315750599,0.5821776989847421,1.4753858286896442,11,0.7438114505930571,0.7807877540471964,0.9944018720125312
168048,colision_dinamica,0,0,1,0,0,94,9.4,-56.09026691668171,4.138688844136044,8.35566586697616,0.1476778391512412,-0.03926321808523453,0.08323711503970244,-0.03926321808523453,0.889002123367081,0.4146092813858328,1.4791722080872487,22,0.7342769045437231,0.7729002056294121,0.8385575174179368
168054,colision_dinamica,0,0,1,0,0,90,9.0,-15.4659658679698,3.768954062032795,7.907301436518776,0.14157772899313714,-0.0063209264254869835,0.428691111553019,-0.0063209264254869835,0.8786669817877312,0.3474932515621186,1.3065748003016728,37,0.7461096546548004,0.80366750335088,0.9583290445152669
168059,colision_dinamica,0,0,1,0,0,280,28.0,-894.8914506011872,4.21714015205222,4.9761674371941975,0.08549683428639754,-0.002058828212771757,0.11938739980446511,-0.002058828212771757,0.1777512212882617,0.5656960540534263,1.3916446108520748,70,0.7304489074678194,0.7721035930444486,0.8334478738834131
168062,colision_dinamica,0,0,1,0,0,32,3.2,-243.5113718140646,7.291911969745204,0.7995297311759224,0.06615289986043907,-0.004849352182933031,1.5700753677970707,-0.004849352182933031,0.24990515317767859,0.5870001016417519,1.362672900834477,1,0.748097842460993,0.7726997457211836,1.0447562312765517
168063,colision_dinamica,0,0,1,0,0,76,7.6000000000000005,-229.73712205967973,7.305261613296359,4.501781905331686,0.510983762352442,-0.010284531786062312,1.1374109211628487,-0.010284531786062312,0.5924249109370927,0.4397226188920047,1.385671052099113,20,0.7331709070728577,0.7707137483521365,0.830780260002939
168064,colision_dinamica,0,0,1,0,0,83,8.3,-95.77325626837113,3.0078295629778853,6.781792754173979,0.2322215131143376,-0.023128077854992934,0.09751453003431881,-0.023128077854992934,0.8171689812856985,0.3749446678637381,1.4198936150839934,35,0.7329097940552846,0.7799718034220857,0.884610172070094
168067,colision_dinamica,0,0,1,0,0,45,4.5,-214.2652516057864,7.595487200183637,2.1356905128664656,0.3051198097879396,-0.018343712184921646,0.8461892607400546,-0.018343712184921646,0.4746711130274666,0.4313855599694782,1.562875449726796,11,0.7472437787024926,0.8059112034970894,1.100309526664206
168068,colision_dinamica,0,0,1,0,0,116,11.600000000000001,-274.96340048934326,6.187177358264898,2.6697636126460504,0.4317405861820802,-0.024262624840725888,0.6343269948666229,-0.024262624840725888,0.23021542920634666,0.4887792261895434,1.2991304319265458,39,0.783140809227038,0.9462627531320322,1.2545190518721938
168070,colision_dinamica,0,0,1,0,0,64,6.4,-125.19060417371614,4.415175987482838,4.621181753547973,0.2934066351784979,-0.006748170288300437,0.3639384257939251,-0.006748170288300437,0.7221506974659859,0.5171975794248282,1.456322426232279,14,0.7459657492745464,0.8680976934556383,1.1174046988890038
168076,colision_dinamica,0,0,1,0,0,35,3.5,-202.0678671728975,6.222311222252775,1.8422151693245012,0.34782137580461386,-0.009023951531827001,2.7327320050933337,-0.009023951531827001,0.5263783925558839,0.33549736176218314,0.9279361765289317,17,0.7257873990706035,0.7531812938395888,0.8483434127992945
168080,colision_dinamica,0,0,1,0,0,89,8.9,-195.4951621057588,3.5267395243651443,6.765287981258245,0.28844343563317837,-0.011970420914495572,0.06002494488121818,-0.011970420914495572,0.7602223855390976,0.38758204834682214,1.2382535138510775,30,0.7278029442296542,0.7502004009438679,0.8113585988758151
168081,colision_dinamica,0,0,1,0,0,38,3.8000000000000003,-197.21708276915152,9.2974132151374,2.2902994558169185,0.4966627817635769,-0.01727291926940333,1.2292337830591644,-0.01727291926940333,0.6027532216553626,0.31333026748738796,1.1992048174748826,13,0.7231417881772167,0.7441666006343439,0.7904480128490833
168083,colision_dinamica,0,0,1,0,0,46,4.6000000000000005,-166.19386014088013,6.602928614880945,1.9807497963200444,0.05498775921184998,-0.005479831849093786,0.6982921259420415,-0.005479831849093786,0.4306401463630407,0.377544973531495,1.2120524936511448,17,0.7345768697078987,0.7598687552672345,1.0474453949427682
168087,colision_dinamica,0,0,1,0,0,160,16.0,-185.6576353681552,3.602459338305675,7.950210050386633,0.5307995812209937,-0.022695511296569437,0.9453503930387469,-0.022695511296569437,0.49694429121911526,0.43830803581018696,1.3223409522209404,48,0.7292836935448577,0.7713665967457928,0.814743648516014
168092,colision_dinamica,0,0,1,0,0,71,7.1000000000000005,-61.86692572845912,6.1100508843122965,6.096877473224753,0.17724399443953132,-0.013471271913222116,0.44744483255454337,-0.013471271913222116,0.858756851604287,0.2772139920131631,1.2275425803449331,38,0.7360755348279678,0.7797830039635301,0.9459155990043645
168096,colision_dinamica,0,0,1,0,0,95,9.5,-115.2459782256677,3.726788895463849,7.316634330117786,0.29101151311247747,-0.0061273657927299885,0.8764118045167771,-0.0061273657927299885,0.7702230757161189,0.32814795359184873,1.3153804890656018,31,0.7327914430980423,0.7669563914532773,0.8231552634970293
168098,colision_dinamica,0,0,1,0,0,51,5.1000000000000005,-110.06390288884545,5.4216027439756305,4.569079481148958,0.20441988094879643,-0.01973877815920183,0.49763694393642577,-0.01973877815920183,0.8959403148176622,0.2838996060923034,1.2706515849651077,27,0.7335830188251339,0.7760915032122284,0.9271065064240247
