numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
1,132000,meta,1,0,0,0,0,272,27.200000000000003,219.13966286091647,10.063821441732083,0.4925438693388955,0.8677347729149966,0.35432271635586066,0.49322506448893083,1.072563525936362,0.8384266031510158,1.1116970747678672,0.8384266031510158,1.467683260987396,18.773999543491485,67.29606350958346,12.621575482439614
2,132001,meta,1,0,0,0,0,257,25.700000000000003,384.80434659647653,10.51388440892081,0.4943103902256184,1.0410481060683459,0.12840743192894272,0.15940448678208075,0.2831513609701615,0.41662482868420725,1.3997712350278229,0.41662482868420725,1.2825562445765721,12.787896011276258,62.22330210693181,10.041334437991214
3,132002,meta,1,0,0,0,0,271,27.1,524.4490935140557,15.800787621997614,0.49965160460857494,1.047202071975363,0.2348567808411091,0.2633648238826656,0.4542950173761351,0.6618392759040955,1.1682024506994935,0.6618392759040955,1.1375596416501856,15.940583489714104,68.89978451835923,15.199748515072223
4,132003,colision_estatica,0,1,0,0,0,177,17.7,4.885147030941141,7.6587779637682845,7.348202143595721,nan,0.23074722095363628,0.29771284569610446,0.5894583109667018,-0.01688468474586846,1.5402518576033573,-0.01688468474586846,0.7320163253414387,14.689624320901931,45.28016854654997,7.217726691118291
5,132004,meta,1,0,0,0,0,208,20.8,317.6405929017973,10.248641074296822,0.4944343523953019,1.0873764691107848,0.13902793580726946,0.15927443722360496,0.4418526367201076,0.37588247484005866,1.090009648772137,0.37588247484005866,1.05279433969965,13.622155688252011,43.724619352258735,10.321675824598527
6,132005,meta,1,0,0,0,0,221,22.1,300.89724430420614,7.967999846853725,0.4940532068878736,1.0735736099906756,0.0986904288301417,0.12306018763618717,0.26570235548502197,0.4464168823072563,1.568693427330449,0.4464168823072563,0.7551338400019421,12.255323607650453,56.529387609846886,7.51164394619299
7,132006,meta,1,0,0,0,0,206,20.6,354.57262071865387,11.259722327178503,0.4994532687759683,1.0732599667798675,0.16264412106730716,0.1854820227654666,0.36493222810687875,0.3630718196874546,1.4442739830589513,0.3630718196874546,0.7673961275384936,13.548186414025626,56.070739454776046,10.514451862130109
8,132007,meta,1,0,0,0,0,243,24.3,384.3762518043651,13.835334010372039,0.4972127106152485,1.085330363232661,0.19901779456780272,0.24315494192668918,0.4628703443742845,0.12663765946516936,1.0377869228259824,0.12663765946516936,1.020063515181651,16.960645418331175,63.01465907618403,13.066163055832977
9,132008,meta,1,0,0,0,0,312,31.200000000000003,352.5645040162785,15.720250738981838,0.49941814445143284,1.065016887497803,0.26968155859582693,0.31323582260897564,0.6755896208971554,0.23925838164793234,0.9339869542676837,0.23925838164793234,0.8003448523553264,23.696400284590084,87.05155173540115,15.328767716809274
10,132009,meta,1,0,0,0,0,210,21.0,346.88986576228444,10.357421913835973,0.4954534652925842,1.0268814638231623,0.16866423246522708,0.2240364647677956,0.5398693560007768,0.6261972810213418,1.1802977924954874,0.6261972810213418,1.3906917086857877,16.450601222288626,54.726153605803844,10.548126238065514
11,132010,meta,1,0,0,0,0,218,21.8,354.13069021646794,11.334383041499473,0.49866990018186214,1.0591618734162365,0.12193554250245589,0.16511527527173586,0.4328088658864182,0.2953944940225307,1.521421598610302,0.2953944940225307,0.8632487156033154,13.263095275203778,53.587171667185615,11.0780410030453
12,132011,meta,1,0,0,0,0,185,18.5,274.01271839704316,9.59491827690494,0.49769835655419487,1.0826137372642775,0.18934558272030158,0.22865544414124067,0.5410397020836752,0.36354733940783635,1.2525169665999,0.36354733940783635,0.806287771301438,13.613328415358955,45.27371444962918,10.008113053270122
13,132012,meta,1,0,0,0,0,225,22.5,-75.34036608808144,10.886279621526697,0.4958211360653176,1.0558038942908443,0.1714352536847815,0.20482367006568977,0.579519439300123,0.3544733540049031,0.043840183963880675,0.043840183963880675,0.9676896909388201,12.975090586360942,54.59043280482292,10.277603810421297
14,132013,colision_estatica,0,1,0,0,0,262,26.200000000000003,-431.6112678151525,2.157920290173774,10.91437134700801,nan,0.5182843201160541,0.5477952454143444,0.8684107026877976,-0.012994022842452657,0.4075052887089633,-0.012994022842452657,0.5386882565870488,6.32113324329257,60.390378413652066,1.2992363110665544
15,132014,colision_dinamica,0,0,1,0,0,153,15.3,-594.7613527552785,3.0694833417192298,4.712461575591579,nan,0.364045588520039,0.3793468393327398,0.4993625785127829,0.549118325633278,-0.01599499991252873,-0.01599499991252873,0.7457153963867527,12.198352169990539,37.274351474642756,3.576933376624675
16,132015,meta,1,0,0,0,0,379,37.9,383.27822970992486,23.04808742594841,0.49728603000696836,1.0054763964308289,0.1946844621560716,0.2554231971144304,0.6402640585178357,0.12453623546821313,0.743069304450781,0.12453623546821313,0.6553075274783742,23.864865801967056,91.67506472505629,26.537446673404403
17,132016,colision_estatica,0,1,0,0,0,35,3.5,-199.04761571863918,0.42719486961083464,7.0157790785184995,nan,0.08079978302667816,0.1296428822151318,0.3779002981415378,-0.025473024229816288,0.7138828891077237,-0.025473024229816288,0.265380081449629,2.207230961322784,8.208648589253427,1.1855085322409618
18,132017,meta,1,0,0,0,0,272,27.200000000000003,372.3243687700613,15.297479027013338,0.4966718704176239,0.9841192500830799,0.31068477766382807,0.3897406176301395,0.841979600733109,0.340047266109304,0.94062423303026,0.340047266109304,0.8752279945835719,22.188561681753946,69.95626060692592,14.807072392640535
19,132018,colision_estatica,0,1,0,0,0,241,24.1,-359.42938357825835,7.548938572749346,5.671880023444362,nan,0.33600115989829976,0.4495433920422064,1.3929757561916134,-0.005547327502895549,0.14793642118531924,-0.005547327502895549,1.1426386754175268,17.79958748500794,63.07863591011846,8.26960066726375
20,132019,meta,1,0,0,0,0,192,19.200000000000003,279.23150246954253,8.69446386634459,0.4944773273490803,1.094022187381373,0.0994531726776161,0.11886251868091159,0.3310999570655113,0.22673309105455097,1.0029982703420002,0.22673309105455097,0.9694638350971356,12.100274942328994,53.076822693273414,8.51142018876376
21,132020,meta,1,0,0,0,0,216,21.6,88.17044310811637,9.091900828305342,0.49505331973323846,0.8401376451725329,0.25868042782667877,0.40101824774143946,0.8552346814037828,0.5599344137732911,0.5498264849705881,0.5498264849705881,1.0876394929950064,12.675704990412356,50.34986987896263,11.379700277576283
22,132021,colision_estatica,0,1,0,0,0,222,22.200000000000003,-247.53187299822588,1.619057909516572,7.139505022028109,nan,0.18903928986818058,0.20734143949803105,0.5371860939512576,-0.02597444752788619,2.160465725106232,-0.02597444752788619,0.518204800211206,5.1161492366343735,48.68856872527394,1.2837927543204228
23,132022,meta,1,0,0,0,0,215,21.5,277.59320734132837,9.068434516696914,0.49485493632259037,1.1037416565970235,0.19441705497911907,0.21168435775550332,0.4127845296784719,0.33113570677615345,1.0918767912617917,0.33113570677615345,1.1136476498012686,9.429483349695126,55.58874465227126,11.023958360620107
24,132023,meta,1,0,0,0,0,242,24.200000000000003,335.4915218604428,12.839292956205997,0.4991111252354022,1.024655820722879,0.2553767249022275,0.33016880859126535,0.7027916514832819,0.3366884393985531,1.3262853337573215,0.3366884393985531,1.0603713877601755,13.100524211219524,63.16756778191775,15.119113218510746
25,132024,meta,1,0,0,0,0,168,16.8,224.84684026417187,7.474281388440304,0.49782337032478635,1.0956417937903704,0.13187080444412794,0.1587656494587832,0.2674345478214484,0.17410634078769938,0.9742888829887392,0.17410634078769938,0.954066489297026,5.79598956575056,39.3054530357942,8.978635068206515
26,132025,meta,1,0,0,0,0,247,24.700000000000003,378.45588823575196,12.563392479767337,0.49331349397694335,1.0628316004033609,0.09181403476256263,0.1159002917953322,0.268483449468591,0.17106780845233593,1.1265470823824055,0.17106780845233593,0.8416104233403032,17.76206603974677,60.010991895478206,11.501897332811724
