semilla,metodo_a,resultado_a,metodo_b,resultado_b
170006,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170012,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170013,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170016,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170018,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170020,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170021,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170029,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170031,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170032,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170033,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170038,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170039,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170049,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170050,A* + DWA,meta,A* + SAC-UPO-TTC,fuera_mapa
170059,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170061,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170068,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170071,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170072,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170073,A* + DWA,meta,A* + SAC-UPO-TTC,fuera_mapa
170077,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170080,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170087,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170093,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170099,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170111,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170112,A* + DWA,meta,A* + SAC-UPO-TTC,fuera_mapa
170114,A* + DWA,meta,A* + SAC-UPO-TTC,fuera_mapa
170124,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170125,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170130,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170141,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170153,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170154,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170157,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170160,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170163,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170166,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170167,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170171,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170173,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
